ax,ay,rollFiltered,pitchFiltered
0.18,0.18,0.10,0.10
0.22,0.12,0.22,0.12
0.24,0.04,0.24,0.04
0.24,0.24,0.02,0.02
0.04,0.04,0.10,0.10
0.32,0.25,0.32,0.25
0.24,0.22,0.24,0.22
0.24,0.24,0.03,0.03
0.22,0.22,0.10,0.10
0.25,0.08,0.25,0.08
0.18,0.05,0.18,0.05
0.18,0.18,0.02,0.02
0.05,0.05,0.11,0.11
0.37,0.07,0.37,0.07
0.19,0.20,0.19,0.20
0.19,0.19,0.01,0.01
0.20,0.20,0.11,0.11
0.42,0.08,0.42,0.08
0.13,0.04,0.13,0.04
0.13,0.13,-0.01,-0.01
0.04,0.04,0.11,0.11
0.22,0.10,0.22,0.10
0.20,0.08,0.20,0.08
0.20,0.20,-0.02,-0.02
0.08,0.08,0.09,0.09
0.27,0.11,0.27,0.11
0.21,0.03,0.21,0.03
0.21,0.21,-0.01,-0.01
0.03,0.03,0.08,0.08
0.35,0.11,0.35,0.11
0.32,0.11,0.32,0.11
